node_id,lat,lon,street_count,highway
1327750570,-23.9220732,29.4699194,3,none
1327750590,-23.9217572,29.4679929,3,none
1327750621,-23.9270595,29.4683392,3,none
1327750625,-23.9220748,29.4700139,3,none
1327750641,-23.9215839,29.4631413,3,none
1327750650,-23.9218011,29.4682081,3,none
1327750661,-23.9052367,29.486606,3,none
1327750697,-23.9188955,29.4619089,3,none
1327750727,-23.9229937,29.4719285,3,none
1327750728,-23.9236052,29.4724472,3,none
1327750761,-23.927127,29.4685419,3,none
1327750789,-23.9213657,29.4682033,3,none
1327750804,-23.9218276,29.4680438,3,none
1327750816,-23.9234381,29.4725308,3,none
1327750842,-23.9229552,29.4719701,3,none
1327750843,-23.9236808,29.4725259,3,none
1327750859,-23.9020973,29.4989401,3,none
1327750881,-23.8940435,29.4528745,3,traffic_signals
1327750895,-23.9216306,29.4680791,3,none
1327750909,-23.9235065,29.4724512,3,none
1327750912,-23.9272448,29.4682639,3,none
1327882474,-23.9029573,29.5017296,3,none
1327882493,-23.9012691,29.501338,3,none
1327882677,-23.9036002,29.5018727,3,none
1341252103,-23.9118995,29.5018107,4,none
1733535062,-23.8924372,29.4362663,3,traffic_signals
1747338394,-23.8785286,29.4452226,3,none
1747338518,-23.877005,29.4447793,3,none
1747338536,-23.8992202,29.4396365,4,traffic_signals
1747338648,-23.8777707,29.4450021,3,none
1747338665,-23.8773787,29.4464728,3,none
1747344922,-23.9005089,29.4495781,4,traffic_signals
1747344923,-23.9015118,29.4563426,4,traffic_signals
1747344925,-23.8967974,29.4495043,4,traffic_signals
1747356902,-23.9203223,29.4398171,1,none
1747356916,-23.918949,29.4499113,3,none
1747356917,-23.9222422,29.4471225,4,none
1747356935,-23.9235784,29.4437577,3,none
1747356939,-23.9215447,29.4430174,4,none
1747356941,-23.9206804,29.4503055,1,none
1747356942,-23.9207184,29.4499791,4,none
1747356945,-23.9213503,29.4438189,3,none
1747356950,-23.9213412,29.4498329,3,none
1747356952,-23.9204617,29.4422115,3,none
1747356953,-23.9251304,29.4488472,4,none
1747356962,-23.9214503,29.4474792,3,stop
1747356967,-23.9206957,29.4396264,4,none
1747356970,-23.9213583,29.4491945,3,none
1747356971,-23.922203,29.4393012,3,none
1747356973,-23.9264163,29.4448138,3,none
1747356975,-23.9209041,29.445762,3,none
1747356989,-23.9145361,29.4488819,3,none
1747356999,-23.9213878,29.4485112,3,none
1747357018,-23.9235509,29.4514241,3,none
1747357019,-23.9213902,29.4421705,3,none
1747357020,-23.9231151,29.4435947,3,none
1747357025,-23.9241509,29.4425279,3,none
1747357033,-23.9200062,29.4499737,3,none
1747357047,-23.9242576,29.4440326,3,none
1747357048,-23.9228337,29.4401582,3,none
1747357050,-23.9211548,29.4407482,3,none
1747357057,-23.9220571,29.4477206,3,none
1747357061,-23.9236777,29.4495506,3,none
1747357064,-23.9235386,29.4501447,3,none
1747357065,-23.9301343,29.4418225,4,none
1747357066,-23.9236588,29.451548,1,none
1747357085,-23.9203469,29.4501336,3,none
1747357103,-23.9213835,29.4395982,3,none
1747357111,-23.9235368,29.4482665,3,none
1747357112,-23.9252659,29.4484871,4,none
1747357116,-23.9216231,29.4426459,3,none
1747357141,-23.914686,29.448073,1,none
1747357147,-23.9238046,29.448998,3,none
1747357148,-23.9299737,29.4456647,4,none
1747357167,-23.920304,29.4484738,1,none
1747357169,-23.9238399,29.4489294,1,none
1747357170,-23.9213081,29.4425245,3,none
1747357173,-23.9235478,29.4507837,3,none
1747357174,-23.9223317,29.4389089,3,none
1747357176,-23.9247921,29.4442204,3,none
1747357179,-23.920483,29.4471829,3,none
1747357183,-23.9212762,29.4401582,3,none
1747357195,-23.9221576,29.4417883,3,none
1747357202,-23.9236463,29.4478971,4,none
1747401380,-23.9080087,29.4363467,1,none
1747401395,-23.9157583,29.4358894,3,none
1747401452,-23.9053826,29.4353248,3,none
1747401463,-23.9100341,29.4349359,3,none
1747401488,-23.9108698,29.4351272,3,none
1747401502,-23.9173204,29.4351328,3,none
1747401570,-23.9073957,29.4333655,3,none
1747401693,-23.9170088,29.438746,3,none
1747401710,-23.9072299,29.4348083,1,none
1747401716,-23.9193797,29.4348206,3,none
1747401722,-23.907869,29.4338769,1,none
1747401761,-23.9169573,29.4359203,3,none
1747401784,-23.9191403,29.4384904,3,none
1747401830,-23.9106091,29.4354382,3,none
1747401838,-23.9163033,29.4380743,3,none
1747401865,-23.9193595,29.4370273,3,none
1747401877,-23.9157718,29.4351009,3,none
1747401882,-23.9103041,29.4358293,3,none
1747401886,-23.9103431,29.4338147,3,none
1747401943,-23.9069213,29.4337222,3,none
1747401957,-23.9203568,29.4343176,3,none
1747402041,-23.9165507,29.4351179,3,none
1747402056,-23.9175555,29.43806,3,none
1747402064,-23.9188778,29.4388332,1,turning_circle
1747402081,-23.9181998,29.4351599,3,none
1747402099,-23.9114007,29.435617,3,none
1747402146,-23.918098,29.4385864,3,none
1747402183,-23.9183909,29.4359476,3,none
1747402374,-23.919376,29.4351867,3,none
1747402475,-23.9075551,29.4343571,1,none
1747402515,-23.919365,29.4359659,3,none
1747402643,-23.9163435,29.4359115,3,none
1747402759,-23.9157117,29.438065,3,none
1747402763,-23.9176731,29.4359324,3,none
1747402769,-23.9162621,29.439668,3,none
1747402776,-23.9155836,29.4405337,3,none
1747402782,-23.9064627,29.4340937,3,none
1747402793,-23.9085771,29.435342,3,none
1747402842,-23.9185951,29.4379695,4,none
1747402849,-23.9066722,29.4357642,3,none
1747402859,-23.9219648,29.4337853,3,none
1942920671,-23.8974558,29.4488552,3,none
1947524199,-23.895147,29.4508106,3,none
1984238937,-23.8925188,29.4729006,3,none
1984238949,-23.8924206,29.4728821,3,none
1984238950,-23.8923819,29.4730194,3,none
1984238961,-23.8924877,29.4730608,3,none
1984238974,-23.8925525,29.4726491,3,none
2269903982,-23.9298278,29.4339608,4,none
2269904074,-23.933051,29.437048,3,none
2270411371,-23.8948993,29.4704215,3,none
2270411377,-23.8955458,29.4770522,3,none
2270411378,-23.8938283,29.4692507,3,none
3731663975,-23.8881036,29.4718814,3,none
3731663976,-23.8869475,29.4749512,3,none
3731663978,-23.8886475,29.4705188,3,none
3731663980,-23.8834919,29.4682302,3,none
3731663990,-23.8871269,29.474525,4,none
3731663999,-23.8871324,29.4724424,3,none
3731664001,-23.885428,29.4692184,1,none
3731664012,-23.8863405,29.4708373,3,none
3731664022,-23.8864261,29.4703074,1,none
